0.1960E+01     0.4101E+00
0.2000E+01     0.4319E+00
0.2500E+01     0.7334E+00
0.3000E+01     0.1080E+01
0.3500E+01     0.1459E+01
0.4000E+01     0.1866E+01
0.4500E+01     0.2287E+01
0.5000E+01     0.2731E+01
0.5500E+01     0.3187E+01
0.6000E+01     0.3654E+01
0.6500E+01     0.4134E+01
0.7000E+01     0.4628E+01
0.7500E+01     0.5116E+01
0.8000E+01     0.5620E+01
0.8500E+01     0.6119E+01
0.9000E+01     0.6638E+01
0.9500E+01     0.7161E+01
0.1000E+02     0.7685E+01
0.1050E+02     0.8215E+01
0.1100E+02     0.8739E+01
0.1150E+02     0.9256E+01
0.1200E+02     0.9809E+01
0.1250E+02     0.1035E+02
0.1300E+02     0.1089E+02
0.1350E+02     0.1143E+02
0.1400E+02     0.1198E+02
