0.1960E+01     0.4269E+00
0.2000E+01     0.4496E+00
0.2500E+01     0.7635E+00
0.3000E+01     0.1124E+01
0.3500E+01     0.1519E+01
0.4000E+01     0.1943E+01
0.4500E+01     0.2381E+01
0.5000E+01     0.2843E+01
0.5500E+01     0.3318E+01
0.6000E+01     0.3804E+01
0.6500E+01     0.4303E+01
0.7000E+01     0.4818E+01
0.7500E+01     0.5326E+01
0.8000E+01     0.5850E+01
0.8500E+01     0.6370E+01
0.9000E+01     0.6910E+01
0.9500E+01     0.7455E+01
0.1000E+02     0.8000E+01
0.1050E+02     0.8552E+01
0.1100E+02     0.9097E+01
0.1150E+02     0.9635E+01
0.1200E+02     0.1021E+02
0.1250E+02     0.1077E+02
0.1300E+02     0.1134E+02
0.1350E+02     0.1190E+02
0.1400E+02     0.1247E+02
