0.1960E+01     0.1710E+00
0.2000E+01     0.1880E+00
0.2500E+01     0.5040E+00
0.3000E+01     0.1042E+01
0.3500E+01     0.1839E+01
0.4000E+01     0.2920E+01
0.4500E+01     0.4292E+01
0.5000E+01     0.5968E+01
0.5500E+01     0.7958E+01
0.6000E+01     0.1025E+02
0.6500E+01     0.1283E+02
0.7000E+01     0.1574E+02
0.7500E+01     0.1890E+02
0.8000E+01     0.2244E+02
0.8500E+01     0.2614E+02
0.9000E+01     0.3018E+02
0.9500E+01     0.3448E+02
0.1000E+02     0.3906E+02
0.1050E+02     0.4396E+02
0.1100E+02     0.4886E+02
0.1150E+02     0.5424E+02
0.1200E+02     0.5982E+02
0.1250E+02     0.6562E+02
0.1300E+02     0.7170E+02
0.1350E+02     0.7788E+02
0.1400E+02     0.8418E+02
