0.1960E+01     0.2103E+01
0.2000E+01     0.2267E+01
0.2500E+01     0.4776E+01
0.3000E+01     0.8278E+01
0.3500E+01     0.1288E+02
0.4000E+01     0.1842E+02
0.4500E+01     0.2471E+02
0.5000E+01     0.3226E+02
0.5500E+01     0.3991E+02
0.6000E+01     0.4807E+02
0.6500E+01     0.5721E+02
0.7000E+01     0.6615E+02
0.7500E+01     0.7749E+02
0.8000E+01     0.8761E+02
0.8500E+01     0.9904E+02
0.9000E+01     0.1108E+03
0.9500E+01     0.1231E+03
0.1000E+02     0.1353E+03
0.1050E+02     0.1487E+03
0.1100E+02     0.1619E+03
0.1150E+02     0.1757E+03
0.1200E+02     0.1895E+03
0.1250E+02     0.2052E+03
0.1300E+02     0.2194E+03
0.1350E+02     0.2338E+03
0.1400E+02     0.2488E+03
